Coder Name,Year,Category,Catalogue Number,Title,Advertiser,Product,Company,Country,Prize Description,Prize code,Video Name,Link to Asset,ID,Character ID,Asset Name,Character Name,Character Description,Character Prominence,Age,Age Specify,Character Sex,Character Gender,LGBTQ+,Animated Character,Animated Character - Specify,Race,Race Specify,Physical Disability,Cognitive Disability,Communication Disability,Activity,Tech,Setting,Vehicle,Shopping,Driving,Cleaning,Cooking,Working,Socializing,Nothing,EatingDrinking,Exercising,Other Activity,Activity Other Specify,Location,Kitchen,Office,Car,Store,Outdoors,Living Room,Restaurant/Bar,Gym,Bedroom,Bathroom,Sporting Event,Classroom/School,Other Setting,Other Setting Specify,Sexually Revealing Clothing,State of Nudity,State of Nudity Specify,Shown as Body Part,Verbally Sexual Objectification,Intelligence,Funny,Occupation Shown,Occupation,Leader,Authority,Body Type,Entry Type,Body Type Other,Disordered/Restrictive Eating,Self Injury,Negative Talk,Body Modification,Visual Shame,Verbal Shame,Sizeist slurs,Punchline,Denied Personal Opportunities,Denied Professional Opportunities,Other Prejudice,Other Prejudice Specify,Lazy,Slow,Stupid,Loser,Inactive,Poorly dressed,Character Funny,Jolly,Clumsy,Alone,Comic Relief,Sidekick,Mamma Hen,Nympho,Fat to Fit Stereotype,Inspiration porn,view_video,vatic_link,file_name,char_montage
,2008.0,A03,A03/026,GALWAY,HEINEKEN,HEINEKEN BEER,THE RED BRICK ROAD London,UNITED KINGDOM,,0.0,2008_Film_A03_026_GALWAY_414,,414.0,1.0,,,,,4.0,,,,,,,1.0,,,,,5.0,0.0,socializing,10.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A03_026_GALWAY_414.mp4,
,2008.0,A03,A03/026,GALWAY,HEINEKEN,HEINEKEN BEER,THE RED BRICK ROAD London,UNITED KINGDOM,,0.0,2008_Film_A03_026_GALWAY_414,,414.0,4.0,,,,,4.0,,,,,,,1.0,,,,,5.0,0.0,socializing,10.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A03_026_GALWAY_414.mp4,
,2008.0,A16,A16/020,FLIGHT ATTENDANT,TJ MAXX,TJ MAXX RETAIL STORES,MULLEN Winston-Salem,USA,,0.0,2008_Film_A16_020_FLIGHT ATTENDANT_465,,465.0,1.0,,,,,7.0,,,,,,,5.0,,,,,other,0.0,plane,2.0,,,,,,,,,,,,11 plane,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A16_020_FLIGHT ATTENDANT_465.mp4,
,2008.0,A16,A16/020,FLIGHT ATTENDANT,TJ MAXX,TJ MAXX RETAIL STORES,MULLEN Winston-Salem,USA,,0.0,2008_Film_A16_020_FLIGHT ATTENDANT_465,,465.0,0.0,,,,,6.0,,,,,,,1.0,,,,,5.0,,plane,,,,,,,,,,,,,11 plane,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,3.0,3.0,1.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A16_020_FLIGHT ATTENDANT_465.mp4,
,2008.0,A14,A14/003,SCREAM,BRIDGESTONE,TYRES,THE RICHARDS GROUP Dallas,USA,,0.0,2008_Film_A14_003_SCREAM_507,,507.0,0.0,,,,,5.0,,,,,,,1.0,,,,,7.0,10.0,3.0,2.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A14_003_SCREAM_507.mp4,
,2008.0,A15,A15/012,PR LADY,APPLE,MAC,TBWA\MEDIA ARTS LAB Los Angeles,USA,,0.0,2008_Film_A15_012_PR LADY_273,,273.0,1.0,,,,,6.0,,,,,,,1.0,,,,,5.0,0.0,studio,10.0,,,,,,,,,,,,11-studio,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,2.0,0.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A15_012_PR LADY_273.mp4,
,2008.0,A15,A15/012,PR LADY,APPLE,MAC,TBWA\MEDIA ARTS LAB Los Angeles,USA,,0.0,2008_Film_A15_012_PR LADY_273,,273.0,0.0,,,,,5.0,,,,,,,1.0,,,,,5.0,0.0,studio,10.0,,,,,,,,,,,,11-studio,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,2.0,0.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A15_012_PR LADY_273.mp4,
,2008.0,A15,A15/012,PR LADY,APPLE,MAC,TBWA\MEDIA ARTS LAB Los Angeles,USA,,0.0,2008_Film_A15_012_PR LADY_273,,273.0,2.0,,,,,6.0,,,,,,,1.0,,,,,5.0,0.0,studio,10.0,,,,,,,,,,,,11-studio,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A15_012_PR LADY_273.mp4,
,2008.0,A02,A02/183,GOLF,DIAMOND OF CALIFORNIA,EMERALD NUTS,GOODBY SILVERSTEIN & PARTNERS San Francisco,USA,,0.0,2008_Film_A02_183_GOLF_1072,,1072.0,1.0,,,,,5.0,,,,,,,3.0,,,,,6.0,10.0,eating_drinking,10.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A02_183_GOLF_1072.mp4,
,2008.0,A02,A02/183,GOLF,DIAMOND OF CALIFORNIA,EMERALD NUTS,GOODBY SILVERSTEIN & PARTNERS San Francisco,USA,,0.0,2008_Film_A02_183_GOLF_1072,,1072.0,0.0,,,,,5.0,,,,,,,1.0,,,,,6.0,0.0,5.0,10.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A02_183_GOLF_1072.mp4,
