Coder,Asset_Name,Brand,Lead_Country,Year_Produced,Year_Aired,Segment,Agency,Character_Name,Character_Description,Q1_Prominence,Q2_Age,Q2a_Age_SpecifyOther,Q3_Sex,Q4_Gender,Q5_LGBTQ,Q6_Animated,Q6a_Animated_OtherSpecify,Q7_Race_Ethnicity,Q7a_RE_OtherSpecify,Q8_Physical_Disability,Q9_Cognitive_Disability,Q10_Communication_Disability,Q11a_Shopping,Q11b_Driving,Q11c_Cleaning,Q11d_Cooking,Q11e_Working,Q11f_Socializing,Q11g_Nothing,Q11h_Eating/Drinking,Q11i_Exercising,Q11j_Activity Other,Q11j_Activity_Other_Specify,Q12a_Kitchen,Q12b_Office,Q12c_Car,Q12d_Store,Q12e_Outdoors,Q12f_Living Room,Q12g_Restaurant_Bar,Q12h_Gym,Q12i_Bedroom,Q12j_Bathroom,Q12k_Sporting_Event,Q12l_Classroom,Q12m_Location_Other,Q12m_Location_Other_Specify,Q13_Revealing_Clothing,Q14_Nudity,Q14a_Nudity_Other_Specify,Q15_Visually_Objectified,Q16_Verbally_Objectified,Q17_Intelligence,Q18_Humor,Q19_Occupation,Q20_Leader,Q21_Authority,Q22_Body Type,Q22a_Body_Type_Other_Specify,Q23a_Disordered_Eating,Q23b_Selfy_injury,Q23c_NegativeTalk,Q23d_Body_Modification,Q24a_Visual_Shame,Q24b_Verbal_shame,Q24c_Sizeist_Slurs,Q24d_Punchline,Q24e_Denied_Personal_Opportunity,Q24f_Denied_Professional_Opportunity,Q24g_Other_Prejudice,Q24g_Prejudice_Other_Specify,Q25a_Lazy,Q25b_Physically_Slow,Q25c_Stupid,Q25d_Loser,Q25e_Inactive,Q25f_Poorly_Dressed,Q25g_Funny,Q25h_Jolly,Q25i_Clumsy,Q25j_Alone,Q26a_Comic_Relief,Q26b_Sidekick,Q26c_Mamma_Hen,Q26d_Nympho,Q27_Fat_to_Fit,Q28_Inspo_Porn,,Q27. NOTES,,Notes on Dwelling,,,,,,,,,,,,,,,
Jenna          ,Talent Show                                                       ,Airwaves       ,Germany             ,2019,2019,Confectionary,DDB,Magician 2                     ,White t-shirt                        ,2,1,,2,Masculine,0,0,,1,                                                          ,0,0,0,0,0,0,0,0,0,0,0,0,1,Performing                                                ,0,0,0,0,0,0,0,0,0,0,0,0,1,On stage                       ,0,0,,0,0,0,2,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Jenna          ,Talent Show                                                       ,Airwaves       ,Germany             ,2019,2019,Confectionary,DDB,Magician 2                     ,White t-shirt                        ,2,1,,2,Masculine,0,0,,1,                                                          ,0,0,0,0,0,0,0,0,0,0,0,0,1,Performing                                                ,0,0,0,0,0,0,0,0,0,0,0,0,1,On stage                       ,0,0,,0,0,0,2,0,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Jenna          ,Talent Show                                                       ,Airwaves       ,Germany             ,2019,2019,Confectionary,DDB,Magician 1                     ,Gold jacket                          ,2,7,,2,Masculine,0,0,,1,                                                          ,0,0,0,0,0,0,0,0,0,0,0,0,1,Performing                                                ,0,0,0,0,0,0,0,0,0,0,0,0,1,On stage                       ,0,0,,0,0,0,0,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Jenna          ,Talent Show                                                       ,Airwaves       ,Germany             ,2019,2019,Confectionary,DDB,Magician's assistant 1         ,Levitating                           ,2,6,,1,Feminine,0,0,,1,                                                          ,0,0,0,0,0,0,0,0,0,0,0,0,1,Performing                                                ,0,0,0,0,0,0,0,0,0,0,0,0,1,On stage                       ,0,0,,0,0,0,0,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Jenna          ,Talent Show                                                       ,Airwaves       ,Germany             ,2019,2019,Confectionary,DDB,Magician 1                     ,Gold jacket                          ,2,7,,2,Masculine,0,0,,1,                                                          ,0,0,0,0,0,0,0,0,0,0,0,0,1,Performing                                                ,0,0,0,0,0,0,0,0,0,0,0,0,1,On stage                       ,0,0,,0,0,0,0,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Jenna          ,Talent Show                                                       ,Airwaves       ,Germany             ,2019,2019,Confectionary,DDB,Magician's assistant 1         ,Levitating                           ,2,6,,1,Feminine,0,0,,1,                                                          ,0,0,0,0,0,0,0,0,0,0,0,0,1,Performing                                                ,0,0,0,0,0,0,0,0,0,0,0,0,1,On stage                       ,0,0,,0,0,0,0,1,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Melanie        ,In-car                                                            ,Airwaves       ,China Taiwan        ,2019,2019,Confectionary,DDB,Cheerleader 1                  ,Ponytail                             ,1,4,,1,Feminine,0,0,,5,                                                          ,0,0,0,0,0,0,0,0,0,0,0,0,1,Cheerleads                                                ,0,0,1,0,1,0,0,0,0,0,0,0,0,                               ,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Nosh,Conspiracy (:15),Banfield,United States,2019,2019,Pet,BBDO,Woman,drinking tea,1,7,,1,Feminine,0,0,,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,warehouse,0,0,,0,0,1,3,0,0,0,3,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Hannah,Rabies (:15),Banfield,United States,2019,2019,Pet,BBDO,Dog owner,Dog owner,1,5,,2,Masculine,0,0,,3,,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,Non-descript background,0,0,,0,0,0,0,0,0,0,3,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Hannah,Rabies (:15),Banfield,United States,2019,2019,Pet,BBDO,Internet,The internet,1,5,,2,Masculine,0,0,,6,,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,Non-descript background,0,0,,0,0,3,3,0,0,0,3,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Hannah,Search (:15),Banfield,United States,2019,2019,Pet,BBDO,Internet,The internet,1,5,,2,Masculine,0,0,,1,,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,Non-descript background,0,0,,0,0,3,3,0,0,0,3,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Nosh,Conspiracy (:15),Banfield,United States,2019,2019,Pet,BBDO,Vet,,1,6,,2,Masculine,0,0,,3,,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,warehouse,0,0,,0,0,2,0,1,0,0,3,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Hannah,Rabies (:15),Banfield,United States,2019,2019,Pet,BBDO,Vet,Vet,1,5,,1,Feminine,0,0,,5,,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,Non-descript background,0,0,,0,0,2,0,1,1,1,3,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Hannah,Search (:15),Banfield,United States,2019,2019,Pet,BBDO,Vet,Vet,1,6,,1,Feminine,0,0,,1,,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,Non-descript background,0,0,,0,0,2,0,1,1,1,3,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Nosh,Conspiracy (:15),Banfield,United States,2019,2019,Pet,BBDO,Woman,,1,5,,1,Feminine,0,0,,1,,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,warehouse,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Hannah,Search (:15),Banfield,United States,2019,2019,Pet,BBDO,Cat owner,Cat owner,1,5,,1,Feminine,0,0,,3,,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,Non-descript background,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Pamela,BOOMER BICEP,BOOMER,India,2020,2020,Confectionary,DDB,Boomer Man,"Shirtless, dark hair, chewing gum",2,4,,2,10,0,0,,7,,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,1,,1,0,0,2,0,0,0,6,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
CEspinoza,BOOMER RAMAYAN,BOOMER,India,2020,2020,Confectionary,DDB,Older man watching TV,Older man watching TV,2,8,,2,10,0,0,,7,,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,9,2,9,0,0,3,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
CEspinoza,BOOMER RAMAYAN,BOOMER,India,2020,2020,Confectionary,DDB,Boy watching TV,Boy watching TV,2,2,,2,10,10,0,,7,,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,10,,0,0,9,2,10,0,0,3,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
CAckel,BOOMER FISH BOWL,BOOMER,India,2020,2020,Confectionary,DDB,girl,sad,2,2,,1,10,10,0,,7,,0,0,0,0,0,0,0,0,0,0,0,0,1,watching their dead fish,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,10,,0,0,0,0,10,0,0,3,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
CAckel,BOOMER FISH BOWL,BOOMER,India,2020,2020,Confectionary,DDB,boy,blowing gum,2,1,,2,10,10,0,,7,,0,0,0,0,0,0,0,0,0,0,0,0,1,watching their dead fish,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,10,,0,0,0,2,10,0,0,2,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,Could be apartment or house; books stacked on floor vs. bookshelf,,,,,,,,,,,,,,,
Milena,Consolations (1:32),Celebrations,France,2019,2019,Confectionary,BBDO,woman in white jersey,bangs,2,5,,1,Feminine,0,0,,1,,0,0,0,0,0,0,0,0,0,0,1,0,1,celebrating,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,Could be apartment or house; few SES cues,,,,,,,,,,,,,,,
Milena,Consolations (1:32),Celebrations,France,2019,2019,Confectionary,BBDO,woman in white jersey,,2,5,,1,Feminine,0,0,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,celebrating,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Milena,Consolations (1:32),Celebrations,France,2019,2019,Confectionary,BBDO,man with white scarf and jersey,,2,5,,2,Masculine,0,0,,3,,0,0,0,0,0,0,0,0,0,0,1,0,1,celebrating,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,,,
Milena,Consolations (1:32),Celebrations,France,2019,2019,Confectionary,BBDO,man with black jersey,,2,5,,2,Masculine,0,0,,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,celebrating,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,Room has few markers for SES/type of dwelling,,,,,,,,,,,,,,,
Milena,Consolations (1:32),Celebrations,France,2019,2019,Confectionary,BBDO,woman in blue jersey,,2,5,,1,Feminine,0,0,,1,,0,0,0,0,0,0,0,0,0,0,1,0,1,upset,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,"Kitchen looks very middle class/realistic (not staged/brand new, etc.)",,,,,,,,,,,,,,,
Milena,Consolations (1:32),Celebrations,France,2019,2019,Confectionary,BBDO,man in blue jersey,,2,5,,2,Masculine,0,0,,1,,0,0,0,0,0,0,0,0,0,0,1,0,1,upset,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,2,,10,10,10,10,10,10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,Room has few markers for SES/type of dwelling,,,,,,,,,,,,,,,
