Coder,Asset_Name,Brand,Lead_Country,Year_Produced,Year_Aired,Segment,Agency,Character_Name,Character_Description,Prominence,Animated,Animated Specify,Gender,Trans,Race,Race Other/Specify,API,Skin tone,Sexual Orientation,Queer,Age,Disabled,Disability Specify,Body Type,Shopping,Driving,Cleaning,Cooking,Working,Socializing,Nothing,EatingDrinking,Exercising,Other Activity,Activity Other Specify,Kitchen,Office,Car,Store,Outdoors,Living Room,Restaurant/Bar,Gym,Bedroom,Bathroom,Sporting Event,Classroom,Setting Other,Other Setting Specify,Revealing Clothing,Nudity,Visually Objectified,Verbally Objectified,Intelligent,Funny,Occupation,Leader,Authority,Q27a_Disordered_Eating,Q27b_Selfy_injury,Q27c_NegativeTalk,Q27d_Body_Modification,Q28a_Visual_Shame,Q28b_Verbal_Shame,Q28c_Sizeist_Slurs,Q28d_Punchline,Q28e_Denied_Personal_Opportunity,Q28f_Denied_Professional_Opportunity,Q28g_Other_Prejudice,Q28g_Prejudice_Other_Specify,Q29a_Lazy,Q29b_Physically_Slow,Q29c_Stupid,Q29d_Loser,Q29e_Inactive,Q29f_Poorly_Dressed,Q29g_Funny,Q29h_Jolly,Q29i_Clumsy,Q29j_Alone,Q30a_Comic_Relief,Q30b_Sidekick,Q30c_Mamma_Hen,Q30d_Nympho,Q31_Fat_to_Fit,Q32_Inspo_Porn,Q31_NOTES,Notes on Dwelling
Camryn,Over or Under,Master Foods,Australia,2020,2020,Food,BBDO,Man in Tomato Sauce Costume,,1,0,,1,0,1,,999,999,1,0,3,0,,2,0,0,0,0,0,1,1,0,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Salad,Master Foods,Australia,2020,2020,Food,BBDO,Mustard Girl,"Blonde, wearing yellow mustard costume",1,0,,2,0,1,,999,999,1,0,3,0,,2,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,Refrigerator,0,0,0,0,0,3,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Sofie,Go Rogue with Flavour,Master Foods,Australia,2020,2020,Food,BBDO,Daughter with curly hair,,2,0,,2,0,888,,999,999,1,0,2,0,,2,0,0,0,0,0,1,0,1,0,1,dancing,0,0,0,0,0,0,0,0,0,0,0,0,1,"stage/set, dining room",0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Sofie,Go Rogue with Flavour,Master Foods,Australia,2020,2020,Food,BBDO,Daughter with long hair,,2,0,,2,0,888,,999,999,1,0,2,0,,2,0,0,0,0,0,1,0,1,0,1,dancing,0,0,0,0,0,0,0,0,0,0,0,0,1,"stage/set, dining room",0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Sofie,Go Rogue with Flavour,Master Foods,Australia,2020,2020,Food,BBDO,Brother,,2,0,,1,0,888,,999,999,1,0,2,0,,2,0,0,0,0,0,1,0,1,0,1,"dancing, using laptop",0,0,0,0,0,0,0,0,0,0,0,0,1,"stage/set, dining room",0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Sofie,Go Rogue with Flavour,Master Foods,Australia,2020,2020,Food,BBDO,Mom,,1,0,,2,0,888,,999,999,1,0,5,0,,2,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,dining room,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Sofie,Go Rogue with Flavour,Master Foods,Australia,2020,2020,Food,BBDO,Youngest daughter,overalls,2,0,,2,0,888,,999,999,888,0,1,0,,1,0,0,0,0,0,1,0,1,0,1,"dancing, reading",0,0,0,0,0,0,0,0,0,0,0,0,1,"stage/set, dining room",0,10,0,0,0,2,10,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Shower,Multi-Brand (MWC),United Kingdom,2020,2020,Confectionary,BBDO,Man wearing robe,"Wearing white robe, white hair",1,0,,1,0,1,,999,999,1,0,6,0,,999,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,3,0,1,1,10,10,10,10,0,0,0,0.0,0,0,0,,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,"not quite sure of race. family does not look white, possibly australian native?",
Emma,Dishwasher,Multi-Brand (MWC),United Kingdom,2020,2020,Confectionary,BBDO,Man,dish washing,1,0,,2,0,1,,999,999,1,0,7,0,,3,0,0,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,0,0,2,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,Bedtime,Multi-Brand (MWC),United Kingdom,2020,2020,Confectionary,BBDO,Woman,in bed,2,0,,2,0,1,,999,999,1,0,6,0,,3,0,0,0,0,0,0,0,0,0,1,sitting in bed reading,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,2,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,Bedtime,Multi-Brand (MWC),United Kingdom,2020,2020,Confectionary,BBDO,Man   ,glasses,1,0,,1,0,1,,999,999,1,0,6,0,,3,0,0,0,0,0,0,0,0,0,1,sitting in bed reading,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Jenna,Coat,Multi-Brand (MWC),United Kingdom,2020,2020,Confectionary,BBDO,Man in closet,White button down,1,0,,1,0,1,,999,999,1,0,7,0,,3,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,1,Walk-in closet,0,0,0,0,0,2,0,0,1,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Who Wants A Walk,Nutro,United States,2020,2020,Petcare,BBDO,Son,Wearing gray shirt and blue jeans,1,0,,1,0,1,,999,999,1,0,2,0,,3,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Who Wants A Walk,Nutro,United States,2020,2020,Petcare,BBDO,Dad,Wearing light short sleeve shirt and khaki pants,1,0,,1,0,1,,999,999,1,0,5,0,,3,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Who Wants A Walk,Nutro,United States,2020,2020,Petcare,BBDO,Daughter,Wearing overalls and striped long sleeve shirt,1,0,,2,0,1,,999,999,1,0,2,0,,2,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Who Wants A Walk,Nutro,United States,2020,2020,Petcare,BBDO,Mom,Wearing white long sleeve shirt with colorful printed pants,1,0,,2,0,1,,999,999,1,0,5,0,,2,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,Smell,Orbit,United States,2020,2020,Confectionary,BBDO,man,sweter,2,0,,1,0,1,,999,999,1,0,5,0,,3,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,3,3,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,DTF,Orbit,United States,2020,2020,Confectionary,BBDO,man,sweter,2,0,,1,0,1,,999,999,1,0,5,0,,3,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,3,3,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,Slide,Orbit,United States,2020,2020,Confectionary,BBDO,man,sweter,2,0,,1,0,1,,999,999,1,0,5,0,,3,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,3,3,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,Bees,Orbit,United States,2020,2020,Confectionary,BBDO,man,sweter,2,0,,1,0,1,,999,999,1,0,5,0,,3,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,3,3,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,Distance,Orbit,United States,2020,2020,Confectionary,BBDO,man,sweter,2,0,,1,0,1,,999,999,1,0,5,0,,3,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,3,3,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,Fish,Orbit,United States,2020,2020,Confectionary,BBDO,man,sweter,2,0,,1,0,1,,999,999,1,0,5,0,,3,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,3,3,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,No,Orbit,United States,2020,2020,Confectionary,BBDO,man,sweter,2,0,,1,0,1,,999,999,1,0,5,0,,3,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,3,3,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,Salad,Orbit,United States,2020,2020,Confectionary,BBDO,man,sweter,2,0,,1,0,1,,999,999,1,0,5,0,,3,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,3,3,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,BBQ CTA,Orbit,United States,2020,2020,Confectionary,BBDO,Female,by pool side,2,0,,2,0,8,,999,999,1,0,3,0,,3,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Mega Impression - Boy,Orbit,Russia,2020,2020,Confectionary,BBDO,Man,main man character on screen,2,0,,1,0,1,,999,999,1,0,3,0,,3,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,studio/on set,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Mega Impression V1,Orbit,Russia,2020,2020,Confectionary,BBDO,Squirrel Man,man in squirrel costume,2,0,,1,0,1,,999,999,1,0,4,0,,3,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,studio/on set,0,0,0,0,0,2,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Mega Impression V2,Orbit,Russia,2020,2020,Confectionary,BBDO,Gorilla Man,man in gorilla costume,2,0,,1,0,999,,999,999,1,0,4,0,,3,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,studio/on set,0,0,0,0,0,2,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Mega Impression V2,Orbit,Russia,2020,2020,Confectionary,BBDO,Man ,blowing bubbles,2,0,,1,0,1,,999,999,1,0,3,0,,3,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,studio/on set,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Mega Impression V2,Orbit,Russia,2020,2020,Confectionary,BBDO,Older Woman,older woman with first woman,2,0,,2,0,1,,999,999,1,0,7,0,,3,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,studio/on set,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Mega Impression V2,Orbit,Russia,2020,2020,Confectionary,BBDO,Squirrel Man,man in squirrel costume,2,0,,1,0,1,,999,999,1,0,4,0,,3,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,studio/on set,0,0,0,0,0,2,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,BBQ CTA,Orbit,United States,2020,2020,Confectionary,BBDO,Male,by pool side,2,0,,1,0,1,,999,999,1,0,3,0,,2,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,The Talk,Orbit,United States,2020,2020,Confectionary,BBDO,Dad,sitting on bed,1,0,,1,0,1,,999,999,1,0,6,0,,2,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,2,3,0,1,1,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,U Up?,Orbit,United States,2020,2020,Confectionary,BBDO,Dad,sitting on bed,1,0,,1,0,1,,999,999,1,0,6,0,,2,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,2,3,0,1,1,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,Send Nudes,Orbit,United States,2020,2020,Confectionary,BBDO,Dad,sitting on bed,1,0,,1,0,1,,999,999,1,0,6,0,,2,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,2,3,0,1,1,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,Dirty Pickup,Orbit,United States,2020,2020,Confectionary,BBDO,Dad,sitting on bed,1,0,,1,0,1,,999,999,1,0,6,0,,2,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,2,3,0,1,1,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,Protection,Orbit,United States,2020,2020,Confectionary,BBDO,Dad,sitting on bed,1,0,,1,0,1,,999,999,1,0,6,0,,2,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,2,3,0,1,1,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,Bed,Orbit,United States,2020,2020,Confectionary,BBDO,Dad,sitting on bed,1,0,,1,0,1,,999,999,1,0,6,0,,2,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,1,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,Father,Orbit,United States,2020,2020,Confectionary,BBDO,Dad,sitting on bed,1,0,,1,0,1,,999,999,1,0,6,0,,2,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,1,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CAckel,Ghosted,Orbit,United States,2020,2020,Confectionary,BBDO,Dad,sitting on bed,1,0,,1,0,1,,999,999,1,0,6,0,,2,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,1,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Mega Impression - Girl,Orbit,Russia,2020,2020,Confectionary,BBDO,Woman,main woman on screen,2,0,,2,0,1,,999,999,1,0,3,0,,2,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,studio/on set,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Mega Impression V2,Orbit,Russia,2020,2020,Confectionary,BBDO,Woman,first woman in fighting rink,2,0,,2,0,1,,999,999,1,0,3,0,,2,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,studio/on set,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Emma,The Unintimidator,Pedigree,United States,2020,2020,Petcare,BBDO,Man in the clouds,,1,1,animated triclops,2,0,999,,999,999,1,0,999,0,,999,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,2,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Pedigree - Small Dogs,Pedigree,Russia,2020,2020,Petcare,BBDO,Talking Head in Sky,talking three-eyed purple head in sky,2,1,animated talking head,1,0,888,,999,999,1,0,5,0,,999,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,1,floating in sky,0,0,0,0,0,9,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Jenna,The Underestimator,Pedigree,United States,2020,2020,Petcare,BBDO,Superhero,Yellow cape,1,1,Animated superhero,2,0,1,,999,999,1,0,4,0,,6,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,Set,1,1,0,0,0,0,0,1,3,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Mutts for Trucks - Shannon,Pedigree,United States,2019,2020,Petcare,BBDO,Woman wearing gray tee,"Short dark hair, gray t-shirt, gray printed leggings",2,0,,2,0,2,,999,999,1,0,4,0,,5,0,0,0,0,0,0,0,0,0,1,Playing with dog,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,10,10,10,10,0,0,0,0.0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
Pamela,Mutts for Trucks - Shannon,Pedigree,United States,2019,2020,Petcare,BBDO,Shannon,"Long light brown hair, black rimmed glasses, t-shirt",1,0,,2,0,1,,999,999,1,0,6,0,,4,0,0,0,0,1,1,1,0,1,1,"Playing with dog, maintaining truck",0,0,1,0,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,1,10,10,10,10,0,0,0,0.0,0,0,0,,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,,
Pamela,Mutts for Trucks - Shannon,Pedigree,United States,2019,2020,Petcare,BBDO,Woman with green hair,"Shoulder-length green hair, gray shirt, gray jeans",2,0,,2,0,1,,999,999,1,0,3,0,,4,0,0,0,0,0,0,0,0,0,1,Bringing dog out to owner,0,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,10,10,10,10,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pamela,Mutts for Trucks - Shannon,Pedigree,United States,2019,2020,Petcare,BBDO,Man wearing blue,"Blue t-shirt, red hair, glasses",2,0,,1,0,1,,999,999,1,0,4,0,,4,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,10,10,10,10,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pamela,Meatball Parm,Pedigree,United States,2020,2020,Petcare,BBDO,Man holding sandwich,"Brown cardigan, blue shirt, khaki pants",1,0,,1,0,1,,999,999,1,0,4,0,,4,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,10,10,10,10,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,"not quite sure of race. family does not look white, possibly australian native?",
Jenna,Mutts for Trucks - Aldrick,Pedigree,United States,2019,2020,Petcare,BBDO,Humane society employee 4,With brown/white dog,2,0,,2,0,2,,999,999,1,0,4,0,,4,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,Mobile pet adoption site/vehicle,0,0,0,0,0,0,1,0,2,10,10,10,10,0,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Romeo,Ball Bite,Pedigree,Russia,2020,2020,Petcare,BBDO,Owner #2,,2,0,,1,0,1,,999,999,1,0,3,0,,4,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,studio/on set,0,0,0,0,0,0,0,0,0,10,10,10,10,10,0,0,0.0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Melanie,Mutts for Trucks,Pedigree,United States,2019,2020,Petcare,BBDO,younger woman,brown hair,2,0,,2,0,1,,999,999,1,0,3,0,,3,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,Mutts for Trucks,Pedigree,United States,2019,2020,Petcare,BBDO,black man,trucker,1,0,,1,0,2,,999,999,1,0,3,0,,3,0,1,0,0,1,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Emma,Mutts for Trucks - Jacinda,Pedigree,United States,2019,2020,Petcare,BBDO,Jacinda Duran,,1,0,,2,0,1,,999,999,1,0,5,0,,3,0,1,0,1,1,0,0,1,0,0,,1,0,1,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,2,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,Mutts for Trucks,Pedigree,United States,2019,2020,Petcare,BBDO,woman,trucker,2,0,,2,0,1,,999,999,1,0,5,0,,3,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,Pedigree Puppy Sword,Pedigree,Latin America,2020,2020,Petcare,BBDO,boy ,yellow shirt,2,0,,1,0,1,,999,999,888,0,1,0,,3,0,0,0,0,0,0,0,0,0,1,playing with dog,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,10,0,0,0,0,10,0,2,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Jenna,Mutts for Trucks - Aldrick,Pedigree,United States,2019,2020,Petcare,BBDO,Trucker's daughter,Pink t-shirt,1,0,,2,0,2,,999,999,888,0,1,0,,3,0,0,0,0,0,0,0,0,0,1,"Talking on phone, Playing",0,0,0,0,1,1,0,0,0,0,0,0,0,,0,10,0,0,0,0,10,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
CEspinoza,Pedigree Puppy - The Good,Pedigree,Latin America,2020,2020,Petcare,BBDO,Girl with dog,Girl with Dog,2,0,,2,0,2,,999,999,888,0,1,0,,3,0,0,0,0,0,0,0,0,0,1,playing with dog,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,10,0,0,0,0,10,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Pedigree Covid Response,Pedigree,Mexico; Chile ; Argentina; Colombia ; Puerto Rico ; Panama,2020,2020,Petcare,BBDO,Young Toddler #1,little girl in white top and yellow headband and pants,2,0,,2,0,1,,999,999,888,0,1,0,,3,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,10,0,0,0,0,10,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Pedigree Covid Response,Pedigree,Mexico; Chile ; Argentina; Colombia ; Puerto Rico ; Panama,2020,2020,Petcare,BBDO,Grandaughter #1,little brunette girl on phone with family,2,0,,2,0,1,,999,999,888,0,1,0,,3,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,10,0,0,0,0,10,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,COVID 19 Social Feed 5,Pedigree,United States,2020,2020,Petcare,BBDO,Woman petting dog,"White hair in ponytail, bangs, wearing plaid shirt",2,0,,2,0,1,,999,999,1,0,7,0,,3,0,0,0,0,0,0,0,0,0,1,Petting dog,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
